热平板问题性能测试报告
====================

1. OpenMP vs Pthread性能对比
-------------------------
线程数	OpenMP时间(秒)	Pthread时间(秒)	加速比
1	25.3409		44.6943		0.5670
2	12.8746		7.5099		1.7143
4	6.6432		6.5237		1.0183
8	3.5862		12.5005		0.2869
16	2.8098		30.3788		0.0925

2. 不同调度策略性能对比 (4线程)
----------------------------
调度策略	执行时间(秒)	迭代次数
静态调度	6.5237		16955
动态调度	6.3433		16955
引导式调度	6.7053		16955

3. 不同块大小性能对比 (4线程，动态调度)
--------------------------------
块大小	执行时间(秒)	迭代次数
10	6.3433		16955
50	6.4204		16955
100	6.4338		16955

4. 综合性能结果
-------------
线程数	调度策略	块大小	执行时间(秒)	迭代次数
1	静态调度	10	44.6943		16955
1	静态调度	50	45.8983		16955
1	静态调度	100	41.4068		16955
1	动态调度	10	38.0474		16955
1	动态调度	50	42.4402		16955
1	动态调度	100	43.8199		16955
1	引导式调度	10	47.4154		16955
1	引导式调度	50	41.5472		16955
1	引导式调度	100	42.4968		16955
2	静态调度	10	7.5099		16955
2	静态调度	50	7.5638		16955
2	静态调度	100	7.8241		16955
2	动态调度	10	7.7050		16955
2	动态调度	50	8.3315		16955
2	动态调度	100	8.5899		16955
2	引导式调度	10	7.3991		16955
2	引导式调度	50	7.6502		16955
2	引导式调度	100	7.4869		16955
4	静态调度	10	6.5237		16955
4	静态调度	50	6.8489		16955
4	静态调度	100	6.5781		16955
4	动态调度	10	6.3433		16955
4	动态调度	50	6.4204		16955
4	动态调度	100	6.4338		16955
4	引导式调度	10	6.7053		16955
4	引导式调度	50	5.9724		16955
4	引导式调度	100	6.3580		16955
8	静态调度	10	12.5005		16955
8	静态调度	50	11.6599		16955
8	静态调度	100	11.6719		16955
8	动态调度	10	15.5783		16955
8	动态调度	50	8.7064		16955
8	动态调度	100	10.2809		16955
8	引导式调度	10	9.4106		16955
8	引导式调度	50	9.7150		16955
8	引导式调度	100	10.6921		16955
16	静态调度	10	30.3788		16955
16	静态调度	50	30.1531		16955
16	静态调度	100	30.2036		16955
16	动态调度	10	29.9074		16955
16	动态调度	50	29.0560		16955
16	动态调度	100	25.1157		16955
16	引导式调度	10	28.4131		16955
16	引导式调度	50	28.1043		16955
16	引导式调度	100	23.8668		16955

最佳配置: 线程数=4, 调度策略=引导式调度, 块大小=50, 时间=5.9724秒
